Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
50543403,"Un lever de ténèbres : deuxième partie  (La Roue du Temps, #8)",Robert Jordan,"Jordan, Robert",Jean Claude Mallé,,9791028107239,0,4.41,Bragelonne,Mass Market Paperback,720,2019,,,2020/12/07,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
43323704,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,1472154665,9781472154668,0,4.46,Corsair,Paperback,368,2019,2018,2021/05/16,2020/12/07,"fiction, vo-anglaise","fiction (#379), vo-anglaise (#69)",read,,,,1,,,0,,,,,
23750607,"Casse-tête (Locke & Key, #2)",Joe Hill,"Hill, Joe","Gabriel Rodríguez, Maxime Le Dain",2811210334,9782811210335,4,4.33,Milady,Paperback,168,2013,2009,2015/03/06,2015/03/06,graphique,graphique (#66),read,,,,1,,,0,,,,,
45313055,"Défaillances systèmes (Journal d'un AssaSynth, #1)",Martha Wells,"Wells, Martha",Mathilde Montier,2841728994,9782841728992,0,4.15,L'Atalante,Paperback,122,2019,2017,2021/04/19,2021/04/04,fiction,fiction (#382),read,,,,1,,,0,,,,,
54994201,"Apprendre, si par bonheur",Becky Chambers,"Chambers, Becky",,,9791036000454,0,4.21, L' Atalante,Paperback,144,2020,2019,2021/04/04,2021/04/04,fiction,fiction (#381),read,,,,1,,,0,,,,,
28510466,Dragon,Thomas  Day,"Day, Thomas",,2843441390,9782843441394,0,3.68,Le Bélial',Paperback,160,2016,2016,2021/04/03,2021/04/03,fiction,fiction (#380),read,,,,1,,,0,,,,,
44402434,PTSD,Guillaume Singelin,"Singelin, Guillaume",,,,0,3.82,Ankama,Kindle Edition,215,2019,2019,,2021/03/25,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
28501914,"Le Huitième Sortilège (Les Annales du Disque-monde, #2)",Terry Pratchett,"Pratchett, Terry",,,9782841726905,0,3.96,L'Atalante,Paperback,256,2014,1986,2021/03/24,2020/12/07,fiction,fiction (#378),read,,,,1,,,0,,,,,
35285193,Conversations with Friends,Sally Rooney,"Rooney, Sally",,0571333133,9780571333134,0,3.81,Faber & Faber,Paperback,323,2018,2017,2021/01/18,2020/12/07,"fiction, vo-anglaise","fiction (#377), vo-anglaise (#68)",read,,,,1,,,0,,,,,
49292268,La rose la plus rouge s'épanouit,Liv Strömquist,"Strömquist, Liv",,,,0,4.22,Rackham,Hardcover,176,2019,2019,2020/12/16,2021/01/16,"graphique, non-fiction","graphique (#203), non-fiction (#70)",read,,,,1,,,0,,,,,
55333990,Une Heure-Lumière Hors-Série 2020,Kij Johnson,"Johnson, Kij","Anne-Sylvie Homassel, Aurélien Police, Nicolas Fructus",,,0,4.00,,,112,,2020,2021/03/22,2021/03/19,fiction,fiction (#376),read,,,,1,,,0,,,,,
41086877,Normal People,Sally Rooney,"Rooney, Sally",,0571334652,9780571334650,0,3.86,Faber & Faber,Paperback,266,2019,2018,2021/03/19,2020/12/07,"vo-anglaise, fiction","vo-anglaise (#67), fiction (#375)",read,,,,1,,,0,,,,,
23991333,"Orange, Tome 1 (Orange, #1)",Ichigo Takano,"Takano, Ichigo",,2369740310,9782369740315,5,4.30,Akata,Mass Market Paperback,192,2014,2012,2016/10/16,2016/10/16,graphique,graphique (#23),read,,,,1,,,0,,,,,
24859736,"L'Assassin royal : Première époque, 1",Robin Hobb,"Hobb, Robin",,2290085995,9782290085998,0,4.58,J'ai Lu,Paperback,1116,2014,2000,2021/03/14,2021/02/01,fiction,fiction (#374),read,,,,1,,,0,,,,,
25526955,Gagner la guerre,Jean-Philippe Jaworski,"Jaworski, Jean-Philippe",,207046427X,9782070464272,0,4.51,Gallimard,Mass Market Paperback,980,2015,2009,,2020/09/30,"fiction, dnf","fiction (#358), dnf (#3)",dnf,,,,0,,,0,,,,,
45900742,Le Jardin Des Supplices,Octave Mirbeau,"Mirbeau, Octave",,1975750675,9781975750671,0,3.76,Createspace Independent Publishing Platform,Paperback,362,2017,1899,,2019/06/16,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
39294682,She Must Be Mad,Charly    Cox,"Cox, Charly",,0008291667,9780008291662,0,3.68,HQ,Paperback,146,2018,2018,,2021/01/13,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
